village_id,name,state,lat,lon,elevation_m,temp_c,eto_mm_day,rainfall_jjas_mm,inside_validated_band
ga.geojson:72,Curchirem,GA,15.59893,74.00044,57.0,26.01,2.72,3949.6,False
ga.geojson:73,Maem,GA,15.57958,73.91723,38.4,26.13,2.73,3728.4,False
ga.geojson:74,Poriem,GA,15.58064,74.02438,46.5,26.08,2.72,3773.9,False
ga.geojson:75,Anjuna,GA,15.58732,73.74489,21.1,26.7,2.44,3411.9,False
ga.geojson:76,Pale,GA,15.59394,74.12688,207.6,24.76,2.55,5447.4,False
ga.geojson:77,Moira,GA,15.59688,73.844,13.0,26.75,2.45,3460.0,False
ga.geojson:78,Sigonem,GA,15.59806,74.17242,168.6,25.01,2.57,5177.4,False
ga.geojson:79,Morlem,GA,15.59256,74.05511,111.0,25.66,2.7,4204.7,False
ga.geojson:80,Sarvona,GA,15.58251,73.97379,47.9,26.07,2.72,3845.8,False
ga.geojson:81,Vainguinim,GA,15.5843,74.23873,236.5,24.57,2.54,4696.4,False
ga.geojson:82,Xelopo-Buzruco,GA,15.58985,74.16552,118.8,25.33,2.59,4667.7,False
ga.geojson:83,Nachinola,GA,15.58693,73.85283,24.2,26.68,2.44,3498.9,False
ga.geojson:84,Zormen,GA,15.57847,74.10156,322.4,24.28,2.61,5165.6,False
ga.geojson:85,Verla,GA,15.58694,73.78846,25.8,26.67,2.44,3508.2,False
ga.geojson:86,Bastora,GA,15.5816,73.82057,11.5,26.76,2.45,3436.2,False
ga.geojson:87,Ucassaim,GA,15.58181,73.842,21.9,26.69,2.44,3517.0,False
ga.geojson:88,Maloli,GA,15.57885,74.19071,145.1,25.16,2.58,4817.7,False
ga.geojson:89,Naneli,GA,15.58222,74.14519,75.9,25.61,2.6,4325.2,False
ga.geojson:90,Canca,GA,15.58458,73.79942,19.1,26.71,2.45,3491.3,False
ga.geojson:91,Podocem,GA,15.57821,74.00989,62.5,25.97,2.72,3855.7,False
ga.geojson:92,Nanorem,GA,15.57985,74.20618,108.9,25.4,2.59,4726.0,False
ga.geojson:93,Punola,GA,15.58205,73.83294,12.7,26.75,2.45,3477.9,False
ga.geojson:94,Parra,GA,15.57031,73.78434,16.1,26.73,2.45,3429.3,False
ga.geojson:95,Carapur,GA,15.56183,73.99713,28.5,26.19,2.73,3546.3,False
ga.geojson:96,Compordem,GA,15.56561,74.12933,115.0,25.36,2.59,4283.9,False
ga.geojson:97,Saleli,GA,15.56075,74.07879,161.2,25.33,2.68,4160.5,False
ga.geojson:98,Carambolim-Brama,GA,15.57338,74.16854,137.1,25.21,2.58,4739.4,False
ga.geojson:99,Arpora,GA,15.56761,73.76699,28.4,26.65,2.44,3447.3,False
ga.geojson:100,Guirim,GA,15.57134,73.8069,8.7,26.78,2.45,3390.2,False
ga.geojson:101,Zarani,GA,15.56475,74.23322,155.8,25.09,2.57,4809.7,False
ga.geojson:102,Paliem,GA,15.57239,73.82361,17.5,26.72,2.45,3452.0,False
ga.geojson:103,Pomburpa,GA,15.56466,73.85641,43.5,26.55,2.44,3670.9,False
ga.geojson:104,Olaulim,GA,15.57227,73.86807,19.8,26.71,2.44,3647.9,False
ga.geojson:105,Ponolem,GA,15.56781,73.90007,3.5,26.36,2.74,3598.5,False
ga.geojson:106,Calvim,GA,15.565,73.8919,3.6,26.36,2.74,3592.1,False
ga.geojson:107,Socorro (Serula),GA,15.55595,73.82908,38.0,26.59,2.44,3534.9,False
ga.geojson:108,Onda,GA,15.54967,74.0555,56.0,26.02,2.72,3734.3,False
ga.geojson:109,Calangute,GA,15.54566,73.76891,21.3,26.7,2.44,3421.9,False
ga.geojson:110,Edorem,GA,15.56662,74.14597,61.4,25.71,2.61,4328.3,False
ga.geojson:111,Sanquelim,GA,15.5583,74.03671,59.2,26.0,2.72,3753.6,False
ga.geojson:112,Vainguinim,GA,15.56689,73.90952,32.0,26.17,2.73,3608.5,False
ga.geojson:113,Ustem,GA,15.56081,74.20027,97.4,25.47,2.6,4654.9,False
ga.geojson:114,Dabem,GA,15.55988,74.10591,160.4,25.34,2.68,4364.2,False
ga.geojson:115,Nagargao,GA,15.56295,74.16122,76.2,25.61,2.6,4594.9,False
ga.geojson:116,Piligao,GA,15.55722,73.95807,20.2,26.25,2.73,3631.2,False
ga.geojson:117,Chorao,GA,15.544,73.88795,10.7,26.31,2.74,3539.5,False
ga.geojson:118,Ambarim,GA,15.56328,73.88029,11.6,26.3,2.74,3614.2,False
ga.geojson:119,Naroa,GA,15.55569,73.92746,35.2,26.15,2.73,3760.6,False
ga.geojson:120,Satorem,GA,15.55629,74.1489,62.0,25.7,2.61,4450.9,False
ga.geojson:121,Codvol,GA,15.5448,74.26202,427.0,23.33,2.47,5101.8,False
ga.geojson:122,Davem,GA,15.54989,74.17982,117.2,25.34,2.59,4694.0,False
ga.geojson:123,Ambedem,GA,15.55468,74.16478,83.1,25.56,2.6,4671.6,False
ga.geojson:124,Aturli,GA,15.56043,73.92274,20.8,26.24,2.73,3707.6,False
ga.geojson:125,Pendral,GA,15.53956,74.24252,358.4,23.77,2.49,4662.0,False
ga.geojson:126,Nagoa,GA,15.55839,73.77883,9.3,26.78,2.45,3381.0,False
ga.geojson:127,Caranzol,GA,15.51889,74.21299,227.2,24.63,2.54,4465.6,False
ga.geojson:128,Sangolda,GA,15.55105,73.80706,20.0,26.71,2.44,3469.8,False
ga.geojson:129,Saligao,GA,15.54541,73.78983,27.5,26.66,2.44,3481.1,False
ga.geojson:130,Mauzi,GA,15.54554,74.11597,112.5,25.65,2.69,4626.3,False
ga.geojson:131,Salvador do Mundo,GA,15.53973,73.8486,29.2,26.65,2.44,3605.6,False
ga.geojson:132,Buimpal,GA,15.54351,74.08346,124.1,25.57,2.69,4247.1,False
ga.geojson:133,Sonal,GA,15.54427,74.19051,72.1,25.64,2.61,4284.3,False
ga.geojson:134,Caraim,GA,15.5489,73.89889,7.8,26.33,2.74,3525.9,False
ga.geojson:135,Bombedem,GA,15.5495,74.1661,77.6,25.6,2.6,4671.4,False
ga.geojson:136,Cudnem,GA,15.53894,74.01963,29.1,26.19,2.73,3598.3,False
ga.geojson:137,Valpoi,GA,15.53179,74.14022,43.1,25.82,2.62,4335.0,False
ga.geojson:138,Jua,GA,15.52841,73.94184,3.5,26.36,2.74,3418.2,False
ga.geojson:139,Cudcem,GA,15.5354,74.16276,70.8,25.64,2.61,4303.7,False
ga.geojson:140,Capao,GA,15.54232,73.90555,3.2,26.36,2.74,3513.6,False
ga.geojson:141,Amone,GA,15.53604,73.98505,13.1,26.29,2.73,3505.4,False
ga.geojson:142,Malar,GA,15.52748,73.91431,4.6,26.35,2.74,3398.1,False
ga.geojson:143,Cumarconda,GA,15.53045,74.09583,88.9,25.8,2.7,4672.2,False
ga.geojson:144,Pissurlem,GA,15.52623,74.07017,67.3,25.94,2.71,4377.2,False
ga.geojson:145,Naguem,GA,15.53219,74.11531,91.2,25.79,2.7,4680.0,False
ga.geojson:146,Candola,GA,15.51997,73.96719,16.6,26.27,2.73,3544.6,False
ga.geojson:147,Pilerne,GA,15.52906,73.81327,33.3,26.62,2.44,3570.3,False
ga.geojson:148,Naroa,GA,15.52969,73.92613,5.7,26.34,2.74,3396.2,False
ga.geojson:149,Goltim,GA,15.51995,73.90496,5.8,26.34,2.74,3406.1,False
ga.geojson:150,Navelim,GA,15.51787,73.89239,2.7,26.36,2.74,3402.0,False
ga.geojson:151,Navelim,GA,15.52271,74.0093,26.0,26.21,2.73,3682.9,False
ga.geojson:152,Sonus-Vonvoliem,GA,15.51883,74.05757,110.3,25.66,2.7,4574.3,False
ga.geojson:153,Marra,GA,15.52069,73.79832,23.7,26.68,2.44,3462.4,False
ga.geojson:154,Sanvordem,GA,15.52335,74.17361,70.6,25.65,2.61,4109.8,False
ga.geojson:155,Penha-de-Franca,GA,15.52095,73.83462,35.2,26.61,2.44,3567.2,False
ga.geojson:156,Candolim,GA,15.50304,73.77182,19.6,26.71,2.44,3384.3,False
ga.geojson:157,Velguem,GA,15.50726,74.15891,65.4,25.68,2.61,4155.2,False
ga.geojson:158,Orgao,GA,15.51164,73.96242,30.1,26.18,2.73,3594.2,False
ga.geojson:159,Surla,GA,15.49297,74.03793,46.8,26.08,2.72,4464.2,False
ga.geojson:160,Ansolem,GA,15.51624,74.11655,51.9,26.04,2.72,4291.1,False
ga.geojson:161,Codiem,GA,15.51187,74.09946,43.1,26.1,2.72,4372.2,False
ga.geojson:162,Ella,GA,15.50019,73.91929,25.1,26.22,2.73,3589.6,False
ga.geojson:163,Nerul,GA,15.5061,73.78998,15.1,26.74,2.45,3398.0,False
ga.geojson:164,Betqui,GA,15.49718,73.98635,91.9,25.78,2.7,4378.2,False
ga.geojson:165,Reis Magos,GA,15.50703,73.81277,23.3,26.69,2.44,3416.9,False
ga.geojson:166,Cumbarjua,GA,15.50986,73.94976,6.4,26.34,2.74,3549.2,False
ga.geojson:167,Gandaulim,GA,15.5096,73.93908,14.2,26.29,2.73,3547.5,False
ga.geojson:168,Carambolim-Buzruco,GA,15.50745,74.18297,151.9,25.12,2.57,4529.0,False
ga.geojson:169,Advoi,GA,15.50151,74.11117,44.2,26.09,2.72,4084.7,False
ga.geojson:170,Vaguriem,GA,15.50916,74.08476,56.6,26.01,2.72,4503.8,False
ga.geojson:171,Codqui,GA,15.50431,74.1428,63.2,25.69,2.61,4041.0,False
ga.geojson:172,Sanvorcem,GA,15.50218,74.13025,29.9,25.91,2.62,3996.3,False
ga.geojson:173,Velguem,GA,15.49968,74.06028,80.8,25.85,2.71,4620.5,False
ga.geojson:174,Chimbel,GA,15.49398,73.87921,34.0,26.16,2.73,3540.3,False
ga.geojson:175,Bambolim,GA,15.46972,73.85373,25.5,26.67,2.44,3532.5,False
ga.geojson:176,Corlim,GA,15.49442,73.94052,11.3,26.31,2.74,3644.4,False
ga.geojson:177,Tivrem,GA,15.4985,73.96485,33.7,26.16,2.73,3854.3,False
ga.geojson:178,Panaji,GA,15.4634,73.80815,17.0,26.73,2.44,3387.1,False
ga.geojson:179,Bainguinim,GA,15.49262,73.89982,52.8,26.04,2.72,3625.1,False
ga.geojson:180,Ponocem,GA,15.4957,74.07868,95.4,25.76,2.7,4326.8,False
ga.geojson:181,Savoi-Verem,GA,15.48143,74.00967,83.4,25.84,2.71,4495.2,False
ga.geojson:182,Siranguli,GA,15.49323,74.18394,151.8,25.12,2.57,4714.2,False
ga.geojson:183,Vantem,GA,15.48711,74.09482,57.9,26.0,2.72,4113.8,False
ga.geojson:184,Xelopo-Curdo,GA,15.48266,74.16852,77.4,25.6,2.6,4295.2,False
ga.geojson:185,Volvoi,GA,15.49291,74.00895,8.7,26.32,2.74,4609.6,False
ga.geojson:186,Birondem,GA,15.49075,74.12609,33.7,25.89,2.62,3988.0,False
ga.geojson:187,Pale,GA,15.47089,74.06551,63.9,25.96,2.71,4096.6,False
ga.geojson:188,Sirsodem,GA,15.48523,74.19279,226.7,24.63,2.54,5181.2,False
ga.geojson:189,Carambolim,GA,15.47144,73.93053,11.6,26.3,2.73,3678.6,False
ga.geojson:190,Cotorem,GA,15.48024,74.14487,54.0,25.75,2.61,4155.9,False
ga.geojson:191,Adcolna,GA,15.48842,73.9704,97.8,25.74,2.7,4316.1,False
ga.geojson:192,Padeli,GA,15.48707,74.11536,34.6,26.16,2.73,4026.8,False
ga.geojson:193,Cotombi,GA,15.4789,74.03138,35.3,26.15,2.72,4193.1,False
ga.geojson:194,Querim,GA,15.4629,73.99922,136.8,25.49,2.68,4233.8,False
ga.geojson:195,Surla,GA,15.44339,74.22152,249.3,24.48,2.53,4525.2,False
ga.geojson:196,Talaulim,GA,15.47526,73.89117,39.1,26.13,2.72,3620.3,False
ga.geojson:197,Calapor,GA,15.47168,73.83659,22.4,26.69,2.44,3425.1,False
ga.geojson:198,Boma,GA,15.47653,73.96642,69.5,25.93,2.71,4173.5,False
ga.geojson:199,Damocem,GA,15.47528,74.12817,37.5,25.86,2.62,4151.8,False
ga.geojson:200,Assodem,GA,15.47604,74.19377,221.4,24.67,2.55,5128.6,False
ga.geojson:201,Goalim Moula,GA,15.46855,73.89986,44.3,26.09,2.72,3687.4,False
ga.geojson:202,Guleli,GA,15.47187,74.11421,31.9,26.17,2.73,4195.1,False
ga.geojson:203,Cuncoliem,GA,15.46257,73.97958,99.2,25.73,2.7,4186.1,False
ga.geojson:204,Melauli,GA,15.45735,74.14251,57.1,25.73,2.61,4429.2,False
ga.geojson:205,Conquirem,GA,15.45951,74.11282,85.7,25.82,2.7,4422.2,False
ga.geojson:206,Vagurbem,GA,15.45916,74.02799,60.5,25.99,2.71,4081.8,False
ga.geojson:207,Govanem,GA,15.46347,74.18216,111.8,25.38,2.59,4674.9,False
ga.geojson:208,Azossim,GA,15.46327,73.9227,27.9,26.2,2.73,3676.4,False
ga.geojson:209,Usgao,GA,15.43545,74.07001,71.3,25.92,2.71,3982.5,False
ga.geojson:210,Ambeli,GA,15.46249,74.1657,63.3,25.69,2.61,4493.0,False
ga.geojson:211,Curca,GA,15.459,73.87352,33.9,26.62,2.44,3552.8,False
ga.geojson:212,Gangem,GA,15.45265,74.09324,112.1,25.65,2.69,4548.6,False
ga.geojson:213,Cundaim,GA,15.44938,73.96048,36.6,26.14,2.72,3666.1,False
ga.geojson:214,Gancim,GA,15.45704,73.90287,45.3,26.09,2.72,3669.5,False
ga.geojson:215,Batim,GA,15.45183,73.88989,8.0,26.33,2.74,3509.8,False
ga.geojson:216,Mandur,GA,15.45135,73.92195,29.4,26.19,2.73,3575.8,False
ga.geojson:217,Malpona,GA,15.44957,74.17601,85.9,25.55,2.6,4711.3,False
ga.geojson:218,Priol,GA,15.43581,73.99329,71.7,25.91,2.71,3943.6,False
ga.geojson:219,Candepar,GA,15.42688,74.03952,87.2,25.81,2.7,4028.8,False
ga.geojson:220,Neura-O-Grande,GA,15.43436,73.91598,4.9,26.35,2.74,3452.0,False
ga.geojson:221,Goa Velha,GA,15.43196,73.88983,9.5,26.32,2.73,3468.7,False
ga.geojson:222,Siridao,GA,15.43962,73.86423,17.5,26.72,2.44,3470.6,False
ga.geojson:223,Neura-O-Pequeno,GA,15.44192,73.90411,24.3,26.22,2.73,3555.3,False
ga.geojson:224,Aglote,GA,15.4268,74.16982,70.7,25.64,2.6,4516.0,False
ga.geojson:225,Velinga,GA,15.43029,73.97188,59.8,25.99,2.71,3863.7,False
ga.geojson:226,Marcaim,GA,15.42128,73.94847,17.7,26.26,2.73,3662.7,False
ga.geojson:227,Darbandora,GA,15.38415,74.12232,98.5,25.74,2.7,4552.2,False
ga.geojson:228,Mercurim,GA,15.42502,73.90395,6.6,26.34,2.74,3446.2,False
ga.geojson:229,Piliem,GA,15.4021,74.08766,85.4,25.82,2.7,3957.6,False
ga.geojson:230,Curti,GA,15.41724,74.01166,64.4,25.96,2.71,3830.9,False
ga.geojson:231,Bandora,GA,15.40904,73.97692,55.8,26.02,2.72,3866.2,False
ga.geojson:232,Sancordem,GA,15.40374,74.17541,111.2,25.38,2.59,4715.5,False
ga.geojson:233,Molem,GA,15.38572,74.23623,199.2,24.81,2.55,4125.1,False
ga.geojson:234,Ponda,GA,15.40186,74.01035,35.6,26.15,2.72,3751.6,False
ga.geojson:235,Chicalim,GA,15.40504,73.82136,26.9,26.66,2.44,3443.3,False
ga.geojson:236,Cortalim,GA,15.38218,73.91272,37.3,26.14,2.72,3626.5,False
ga.geojson:237,Mormugao,GA,15.38592,73.81179,37.3,26.59,2.44,3436.1,False
ga.geojson:238,Codar,GA,15.39559,74.06824,45.2,26.09,2.72,3923.2,False
ga.geojson:239,Betora,GA,15.38566,74.03339,78.4,25.87,2.71,4009.9,False
ga.geojson:240,Quelossim,GA,15.38793,73.93514,29.6,26.19,2.73,3592.9,False
ga.geojson:241,Sancoale,GA,15.38981,73.88201,57.4,26.01,2.71,3709.2,False
ga.geojson:242,Sao Jacinto Island,GA,15.40568,73.86349,25.4,26.67,2.44,3479.0,False
ga.geojson:243,Queula,GA,15.39042,73.99693,63.2,25.97,2.71,3830.9,False
ga.geojson:244,Dabolim,GA,15.38969,73.85115,49.2,26.52,2.43,3641.8,False
ga.geojson:245,Durbhat,GA,15.38587,73.97098,47.9,26.07,2.72,3785.4,False
ga.geojson:246,Telaulim,GA,15.38191,73.97943,50.8,26.05,2.72,3846.6,False
ga.geojson:247,Nirancal,GA,15.36281,74.08387,96.7,25.93,2.29,4553.5,False
ga.geojson:248,Caranzol,GA,15.35206,74.28718,349.8,23.66,2.38,4317.2,False
ga.geojson:249,Issorcim,GA,15.36892,73.85569,49.0,26.73,2.36,3557.0,False
ga.geojson:250,Vadi,GA,15.3747,73.98731,44.2,26.28,2.3,3880.5,False
ga.geojson:251,Sangod,GA,15.34972,74.169,70.1,25.48,2.49,3782.1,False
ga.geojson:252,Borim,GA,15.36166,74.01873,76.1,26.07,2.29,4187.7,False
ga.geojson:253,Chicolna,GA,15.36566,73.84563,41.2,26.78,2.36,3488.3,False
ga.geojson:254,Loutulim,GA,15.34542,73.97461,44.4,26.27,2.3,3834.6,False
ga.geojson:255,Colem,GA,15.34071,74.24645,135.6,25.05,2.46,4091.4,False
ga.geojson:256,Nagoa,GA,15.3607,73.92481,34.7,26.34,2.31,3548.3,False
ga.geojson:257,Pale,GA,15.36779,73.88618,19.6,26.44,2.31,3525.2,False
ga.geojson:258,Cuelim,GA,15.36027,73.9023,31.3,26.36,2.31,3522.8,False
ga.geojson:259,Verna,GA,15.34278,73.93937,54.6,26.21,2.3,3651.2,False
ga.geojson:260,Codli,GA,15.34613,74.12332,58.1,26.19,2.3,3880.5,False
ga.geojson:261,Velsao,GA,15.35533,73.89107,13.4,26.48,2.31,3428.2,False
ga.geojson:262,Siroda,GA,15.33308,74.04571,54.1,26.21,2.3,4088.1,False
ga.geojson:263,Conxem,GA,15.34868,74.07245,113.4,25.83,2.28,4305.5,False
ga.geojson:264,Sigao,GA,15.33623,74.20155,85.5,25.38,2.48,3966.5,False
ga.geojson:265,Sao jorge Island,GA,15.35136,73.77678,30.2,26.85,2.36,3319.7,False
ga.geojson:266,Cansaulim,GA,15.34706,73.90208,12.5,26.48,2.31,3396.0,False
ga.geojson:267,Arossim,GA,15.33756,73.90593,11.7,26.49,2.31,3383.6,False
ga.geojson:268,Calem,GA,15.30195,74.19634,101.8,25.27,2.48,4044.1,False
ga.geojson:269,Cormonem,GA,15.32979,74.15744,54.9,25.58,2.49,3833.0,False
ga.geojson:270,Sonauli,GA,15.31657,74.29905,390.2,23.4,2.37,4389.6,False
ga.geojson:271,Camurlim,GA,15.32994,73.98869,21.7,26.42,2.31,3761.4,False
ga.geojson:272,Utorda,GA,15.3276,73.91201,12.5,26.48,2.31,3389.9,False
ga.geojson:273,Camarconda,GA,15.3204,74.09821,91.4,25.97,2.29,3915.9,False
ga.geojson:274,Nuvem,GA,15.31153,73.94505,38.2,26.32,2.31,3473.5,False
ga.geojson:275,Rachol,GA,15.31582,74.00334,4.0,26.54,2.32,3607.9,False
ga.geojson:276,Raia,GA,15.30903,73.98659,41.9,26.29,2.3,3632.9,False
ga.geojson:277,Majorda,GA,15.3152,73.91595,12.8,26.48,2.31,3405.6,False
ga.geojson:278,Ponchavadi,GA,15.29984,74.08262,53.9,26.21,2.3,3894.9,True
ga.geojson:279,Bandoli,GA,15.30596,74.12903,93.2,25.33,2.48,3961.0,False
ga.geojson:280,Calata,GA,15.31114,73.92719,16.5,26.46,2.31,3409.1,False
ga.geojson:281,Boma,GA,15.29932,74.27811,406.7,23.29,2.36,5424.7,True
ga.geojson:282,Santona,GA,15.29436,74.15411,65.2,25.51,2.49,3832.6,True
ga.geojson:283,Betalbatim,GA,15.29991,73.92125,14.1,26.47,2.31,3410.9,True
ga.geojson:284,Gonsua,GA,15.30853,73.90851,11.0,26.49,2.31,3381.1,False
ga.geojson:285,Moissal,GA,15.3026,74.09959,81.5,26.03,2.29,3950.3,False
ga.geojson:286,Curtorim,GA,15.28339,74.01766,30.6,26.36,2.31,3568.7,True
ga.geojson:287,Duncolim,GA,15.29695,73.93709,11.4,26.49,2.31,3400.6,True
ga.geojson:288,Margao,GA,15.2903,73.9695,28.0,26.38,2.31,3511.2,True
ga.geojson:289,Oxel,GA,15.28648,74.25433,379.8,23.46,2.37,5591.0,True
ga.geojson:290,Macasana,GA,15.2861,74.05527,13.6,26.47,2.31,3528.7,True
ga.geojson:291,Rumbrem,GA,15.28898,74.11829,67.1,26.13,2.3,3891.0,True
ga.geojson:292,Seraulim,GA,15.28678,73.94035,10.0,26.5,2.31,3393.5,True
ga.geojson:293,Colva,GA,15.28514,73.92219,12.1,26.48,2.31,3397.2,True
ga.geojson:294,Gandaulim,GA,15.29017,73.91962,16.0,26.46,2.31,3399.0,True
ga.geojson:295,Dongurli,GA,15.27723,74.22428,268.4,24.19,2.41,4494.3,True
ga.geojson:296,Sernabatim,GA,15.2742,73.92543,11.7,26.49,2.31,3391.4,True
